cefr	lemma	example_de
A2	kostenlos	Diese Zeitschrift kostet nichts. Sie ist kostenlos.
A2	kühl	Es ist kühl draußen. Zieh dir eine Jacke an.
A2	kümmern sich	Sonja kann nicht arbeiten. Sie muss sich um ihre Tochter kümmern. Ich habe jetzt keine Zeit. Ich muss mich um das Essen kümmern.
A2	kündigen	Meine Arbeit gefällt mir nicht mehr. Ich habe heute gekündigt.
A2	langweilig	Mir ist langweilig. Sie findet Fußball sehr langweilig.
A2	lassen	Lass mich in Ruhe! Kann ich mein Auto hier stehen lassen? Ich kann meine kleine Tochter noch nicht allein lassen.
A2	leer	Die Kanne ist fast leer. Ich mache neuen Tee.
A2	leidtun/leid tun	Es tut mir leid, dass ich nicht kommen kann.
A2	leihen	Kannst du mir fünf Euro leihen?
A2	liefern	Wir liefern Ihnen den Schrank nach Hause.
A2	lügen	Du sollst nicht lügen. Glaub ihm nicht, er lügt.
A2	mal / das Mal	Sag mal, wie gefällt dir mein neues Kleid? Das erste Mal war ich vor fünf Jahren in England. Tschüss, bis zum nächsten Mal!
A2	malen	Mein Sohn kann gut malen.
A2	manch-	Manche Nachbarn sind unfreundlich.
A2	manchmal	Manchmal essen wir im Restaurant. Rauchen Sie? - Manchmal.
A2	meinen	Wie meinst du das? Erklär mir das bitte genauer! Der Film ist gut. Was meinst du?
A2	meistens	Meistens trinke ich zum Frühstück nur einen Kaffee.
A2	meldet an	Eine Anmeldung für diesen Kurs ist nicht mehr möglich.
A2	merken	Ich kann mir keine Zahlen merken. Ich vergesse sie sofort. Merkst du, dass es wärmer wird?
A2	mindestens	Bitte kommen Sie mindestens zwei Stunden vor Ihrem Flug zum Flughafen. Schreiben Sie mindestens sieben Sätze! Ich warte schon mindestens 20 Minuten. Wann kommst du denn endlich?
A2	mit mitbringen/	Trinken Sie den Kaffee mit oder ohne Zucker? wir mit dem Auto oder mit dem Zug nach Hamburg? Ich komme mit meinem Freund. Ich gehe einkaufen. Soll ich dir was mitbringen? Ich gehe ins Kino. Kommst du mit? Wir organisieren ein Fest. Möchtest du auch mitmachen? Wir fahren am Wochenende in die Berge. Ich muss mein Zelt mitnehmen. Warum spielt ihr nicht mit?
A2	modern	Das Stadtzentrum von Frankfurt ist sehr modern.
A2	nass	Geh nicht mit den nassen Schuhen ins Wohnzimmer! Du bist ja ganz nass. Hast du den Regenschirm vergessen?
A2	natürlich	Natürlich helfen wir dir. Kommst du zu meiner Party? –Natürlich.
A2	neben	Neben mir ist noch ein Platz frei. Die Apotheke ist neben der Post.
A2	nebenan	Das ist José. Er wohnt nebenan.
A2	neblig	Fahr vorsichtig! Es ist neblig.
A2	nennen	Mein Freund heißt Alexander, aber alle nennen ihn Alex.
A2	nervös	Bei Prüfungen bin ich immer sehr nervös.
A2	nett	Ich habe viele nette Kollegen. Vielen Dank! Das ist sehr nett von dir.
A2	niemand	Hier ist niemand. Hier ist der Anrufbeantworter von Familie Klein. Leider ist im Moment niemand zu Hause.
A2	nirgends	Hier kann man nirgends parken. Wo ist Stefan? Ich kann ihn nirgends sehen.
A2	notieren	Notieren Sie bitte alle wichtigen Informationen.
A2	notwendig	Muss ich noch einmal kommen? –Nein, das ist nicht notwendig.
A2	nächste	Sehen wir uns nächste Woche? Ihr nächster Termin ist in einem Monat. Bis nächstes Mal!
A2	nützlich	Danke für den Tipp. Er war sehr nützlich.
A2	offen	Ist das Fenster im Bad noch offen? Ich glaube, der Supermarkt ist jetzt noch offen.
A2	online	Wann bist du wieder online? Ich habe hier kein Internet. Ich bin erst heute Abend wieder online. Sie können das Geld auch online überweisen.
A2	organisieren	Frau Gomez organisiert unseren Ausflug. Hast du schon alles für deinen Urlaub organisiert?
A2	packen	Ich muss noch meinen Koffer packen.
A2	parken	Darf ich hier parken? Hier ist Parken verboten.
A2	passen	Die Bluse passt mir nicht. Welches Wort passt? Wählen Sie.
A2	passieren	Wie ist der Unfall passiert? Was ist passiert?
A2	planen	Wir sollen zusammen eine Klassenparty planen. Morgen schwimmen ... ist ein guter Plan.
A2	plötzlich	Plötzlich war das Licht aus.
A2	praktisch	Mit meinem neuen Handy kann ich auch im Internet surfen und Fotos machen. Das finde ich sehr praktisch.
A2	preiswert	Die Jacke ist sehr preiswert. Sie kostet nur 15 Euro.
A2	privat	Das ist meine Nummer im Büro und das ist meine private Handynummer. Dieser Strand ist privat. Wir dürfen hier nicht schwimmen gehen. Hey, du darfst die Mail nicht lesen! Sie ist privat.
A2	pro	Das Zimmer kostet 100 Euro pro Nacht.
A2	probieren	Möchten Sie den Käse probieren? Die Tür geht schwer auf. Probier mal!
A2	prüfen	Bitte prüfen Sie die Rechnung sofort.
A2	putzen	Ich muss heute noch das Bad putzen.
A2	raten	Ich weiß nicht, welches Handy ich kaufen soll. Was raten Sie mir? Rate mal, wen ich heute gesehen habe! Deinen Lehrer.
A2	rechnen	Sarah kann gut rechnen.
A2	recht haben	Du hast (nicht) recht.
A2	reden	Mit meiner Freundin kann ich über alles reden. Rede nicht so viel!
A2	reich	Lotte ist reich. Sie hat sehr viel Geld.
A2	reiten	Möchtest du reiten lernen?
A2	renovieren	Wir renovieren das ganze Haus.
A2	reservieren	Reservieren Sie bitte ein Doppelzimmer. Ich möchte gern einen Tisch für fünf Personen reservieren.
A2	romantisch	Dieser Film ist sehr romantisch. Meine Freundin ist total romantisch.
A2	rufen	Rufst du bitte die Kinder. Das Essen ist fertig. Wir müssen einen Arzt rufen.
A2	rund	Unser Wohnzimmertisch ist rund. Bis Berlin sind es noch rund 80 Kilometer.
A2	sammeln	Peter sammelt Briefmarken. Im Herbst sammeln wir im Wald bunte Blätter.
A2	sauber	Bringen Sie mir bitte ein sauberes Glas!
A2	sauer	Zitronen sind mir zu sauer. Was ist los? –Ich bin sauer. Ich muss am Wochen- ende zu Hause bleiben und darf nicht mit meinen Freunden ins Kino gehen.
A2	schade	Schade, dass du nicht kommen kannst.
A2	schaffen	Kannst du mir bitte helfen? Ich schaffe das nicht alleine. Geschafft! Das Projekt ist endlich fertig.
A2	scharf	Die Suppe ist mir zu scharf. Pass auf! Das Messer ist sehr scharf.
A2	schenken	Was schenken wir Michael zum Geburtstag?
A2	schimpfen	Warum schimpfst du denn so laut? –Ich ärgere mich über mein Auto. Alle schimpfen über/auf das Wetter.
A2	schließt ab	Ich schließe dieses Jahr mein Studium/ meine Ausbildung ab.
A2	schlimm	Kein Problem, das ist nicht so schlimm.
A2	schmutzig	Das Handtuch ist schmutzig.
A2	schneiden sich	Das Messer schneidet nicht gut. Wer schneidet dir die Haare? Aua! Ich habe mich geschnitten!
A2	schneien	Morgen schneit es.
A2	schrecklich	Ich finde ihren Rock schrecklich. Er sieht furchtbar aus! Ich finde den Film schrecklick. Er macht mir Angst.
A2	schriftlich	Sie müssen sich schriftlich anmelden. Die schriftliche Prüfung dauert 70 Minuten.
A2	schwach	Er ist krank und schwach. Ich fühle mich sehr schwach. Die Tabletten sind zu schwach. Sie helfen nicht.
A2	schwanger	Lena ist schwanger. Sie bekommt im Juli ein Kind.
A2	schwierig	Die Prüfung war nicht schwierig.
A2	schädlich	Rauchen ist schädlich für die Gesundheit.
A2	selbst	Du musst mir nicht helfen, ich mache das selbst.
A2	setzen sich	Setz dich doch!
A2	sich umziehen	Warte bitte, ich muss mich noch umziehen.
A2	sicher	Dieses Auto ist besonders sicher. Ich bin ganz sicher, dass er kommt. Er ist sicher gleich da.
A2	singen	Er singt gern.
A2	sogar	Heute ist es sehr kalt. In den Bergen schneit es sogar. Zu meiner Hochzeit kommen viele Gäste. Sogar meine Tante aus Kanada kommt.
A2	sonnig	Morgen ist das Wetter wieder warm und sonnig.
A2	sonst	Haben Sie sonst noch einen Wunsch? –Nein danke, das ist alles. Beeil dich, sonst kommen wir zu spät!
A2	spannend	Ich finde den Film sehr spannend.
A2	sparen	Ein neues Auto ist sehr teuer. Ich muss sparen.
A2	spazieren gehen	Wir gehen sonntags immer spazieren.
A2	speichern	Sie müssen die Datei speichern.
A2	sportlich	Tom ist sehr sportlich.
A2	stark	Ich habe starke Kopfschmerzen. Es regnet stark. Der Kaffee ist sehr stark.
A2	stattfinden	Das Spiel findet auch bei Regen statt.
A2	sterben	Herr Müller kommt heute nicht. Sein Vater ist gestern gestorben.
A2	streiten sich	Die Kinder streiten (sich) oft.
A2	streng Der Lehrer	von meiner Tochter ist sehr streng.
A2	stressig Meine Arbeit	ist stressig.
A2	stören	Störe ich? Darf ich Sie kurz stören? Mach die Musik leiser! Sie stört mich.
A2	super Der Film	ist super. super tanzen.
A2	surfen	gern surfen lernen. oft im Internet?
A2	sympathisch Der neue	Chef ist sehr sympathisch.
A2	süß Ich finde	die Torte zu süß. Tochter? Die ist ja süß!
A2	teilen	die Pizza teilen?
A2	teilnehmen	Ich möchte an dem Tanzkurs teilnehmen.
A2	tief	Vorsicht, das Wasser ist tief!
A2	toll	Der Urlaub war toll.
A2	total	Der Film ist total langweilig.
A2	tragen	Ich kann den Koffer nicht tragen, er ist zu schwer. Er trägt heute einen blauen Anzug.
A2	trainieren	Wir trainieren einmal pro Woche im Sportverein.
A2	traurig	Ich bin sehr traurig. Meine Katze ist weggelaufen.
A2	treffen sich	Ich treffe in der Stadt einen Kollegen.
A2	trifft	Wir treffen uns immer freitags.
A2	trocken	Die Wäsche ist bald trocken.
A2	träumen	Ich habe schlecht geträumt. Ich träume von einem großen Haus mit Garten.
A2	tschüs	Tschüs, bis morgen!
A2	typisch	Diese Musik ist typisch für dieses Land. Typisch Anna, sie kommt natürlich wieder zu spät.
A2	umsteigen	Sie müssen in Mannheim umsteigen.
A2	unbedingt	Ich muss unbedingt mit dir sprechen.
A2	unterhalten sich	Andreas und Nessrin unterhalten sich. Wir haben uns über das Fußballspiel unterhalten.
A2	unternehmen	Wollen wir heute Abend etwas unternehmen?
A2	untersuchen	Der Arzt hat mich untersucht. Der Arzt muss dein Bein untersuchen.
A2	unterwegs sein	Warte bitte auf mich. Ich bin unterwegs und komme gleich.
A2	verabredet sein	Ich bin mit meiner Freundin verabredet.
A2	verbieten /	Hier ist Rauchen verboten.
A2	vereinbaren	Können wir einen Termin vereinbaren?
A2	vergessen	Ich habe meine Hausaufgaben vergessen. Vergiss deinen Arzttermin nicht!
A2	vergleichen	Vergleichen Sie die Angebote! Können wir die Antworten vergleichen?
A2	verletzen sich	Sind Sie verletzt? –Ja, am Bein. Haben Sie sich verletzt?
A2	verlieben sich	Ich bin total verliebt.
A2	verlieren	Ich habe meinen Schlüssel verloren. Michael hat seine Arbeit verloren. Wir haben das Fußballspiel verloren.
A2	verpassen	Ich habe den Zug verpasst.
A2	verreisen	Verreist ihr in den Ferien? Frau Doktor Müller ist zur Zeit verreist. Sie kommt erst nächste Woche zurück.
A2	verschieben	Leider muss ich den Termin verschieben.
A2	verschieden	Unsere beiden Kinder sind sehr verschieden. Ich habe diese Schuhe in verschiedenen Farben.
A2	versuchen	Kann ich es auch einmal versuchen? Haben Sie es schon einmal mit diesem Mittel versucht?
A2	voll	Morgens und abends sind die Züge immer sehr voll. Die Flasche ist noch ganz voll.
A2	vorbei	Die Linie 8 fährt am Krankenhaus vorbei. Kommst du morgen bei mir vorbei?
A2	vorbereiten	Morgen mache ich eine Party. Ich muss noch viel dafür vorbereiten. Ich muss mich auf meine Prüfung vorbereiten.
A2	vorgestern	Er hat mich vorgestern angerufen.
A2	vorher	Ich komme mit ins Café. Vorher muss ich aber noch zur Bank.
A2	vorn e	Bitte vorn(e) einsteigen!
A2	vorsichtig	Sei vorsichtig! Du musst vorsichtig fahren, es ist neblig.
A2	vorstellen sich	Wir wollen uns kennenlernen. Können Sie sich bitte vorstellen? Darf ich Ihnen meine Frau vorstellen?
A2	vorwärts	Fahren Sie bitte noch ein Stück vorwärts.
A2	wach	Bist du schon lange wach? Ich bin noch nicht ganz wach.
A2	wahr	Das ist (nicht) wahr!
A2	wahrscheinlich	Wahrscheinlich mache ich im Herbst einen Deutschkurs. Er kommt wahrscheinlich nicht.
A2	warm	Hier ist es sehr warm. Mittags esse ich oft ein warmes Essen. Ich brauche einen warmen Pullover.
A2	waschen sich	Wo kann ich mir die Hände waschen?
A2	wechseln	Wir müssen den Reifen wechseln. Können Sie mir zehn Dollar wechseln?
A2	wecken	Bitte wecken Sie mich morgen früh um fünf.
A2	weg/weg-	Meine Brille ist weg. Ich finde sie nicht mehr. Bringst du bitte den Müll weg? Können Sie Ihr Auto bitte wegfahren? Ich gehe jetzt weg. Unser Hund ist weggelaufen. Kannst du das bitte wegmachen? Warum hast du dem Kind den Ball weggenommen? Sie können diese Papiere wegwerfen.
A2	wegen	Wegen seiner Arbeit kann er leider nicht kommen. Ich rufe wegen meiner Tochter an.
A2	wehtun	Wo tut es weh? Ich will dir nicht wehtun.
A2	weich	Ich möchte zum Frühstück ein weiches Ei. Das Bett im Hotel war zu weich.
A2	weil	Ich kann nicht kommen, weil ich arbeiten muss.
A2	weinen	Warum weint das Baby? Weine bitte nicht!
A2	welcher	Welcher Tag ist heute? Welchen Kurs möchtest du machen? Welche Bluse nehmen Sie? Welches Buch suchst du?
A2	wenigstens	Ich habe keinen Hunger. - Ach, essen Sie wenigstens ein Stück Kuchen.
A2	wenn	Wenn ich nicht arbeiten muss, komme ich.
A2	wer wen	Wer ist das?
A2	wieder	Stefan kann wieder zum Fußballtraining kommen. Geht es dir wieder besser? Du kommst schon wieder zu spät. Wann kommst du wieder?
A2	windig	Heute ist es sehr windig.
A2	wirklich	Du glaubst mir nicht? Es ist aber wirklich so.
A2	witzig	Warum lachst du? Ich finde das nicht witzig.
A2	wählen	Sie müssen erst eine Null wählen. Wählen Sie bitte ein Getränk.
A2	wünschen	Ich wünsche mir eine Kamera zum Geburtstag.
A2	zeichnen	Caterina kann gut zeichnen. Sieh mal das Bild hier.
A2	zeigen	Können Sie mir bitte den Weg zum Bahnhof zeigen?
A2	zuerst	Zuerst müsst ihr die Hausaufgaben machen, dann könnt ihr spielen. Zuerst hat mir die Arbeit gar nicht gefallen. Jetzt geht es besser.
A2	zuhören	Hör mir doch mal zu! Ich rede mit dir.
A2	zuletzt	Wir haben uns vor drei Jahren zuletzt gesehen. Diese Aufgabe machen wir zuletzt.
A2	zum Beispiel	Mein Freund hat viele Hobbys, zum Beispiel Kochen, Lesen und Tanzen.
A2	zumachen	Machst du bitte das Fenster zu?
A2	zurück-	Fahrt ihr nach der Party zurück nach Hause? Wann muss ich das Buch zurückgeben? Wir gehen wieder zurück. Wann kommst du zurück? Ich habe mein Buch vergessen. Ich laufe schnell nach Hause zurück.
A2	ändern	Das Wetter hat sich geändert. Wie kann ich mein Passwort ändern?
A2	ärgern sich	Warum ärgerst du dich? - Ich ärgere mich, weil das Wetter schlecht ist.
A2	üben	Ich lerne gerade Gitarre spielen. Ich übe jeden Tag zwei Stunden.
A2	überall	Ich habe überall gesucht, aber ich kann meine Brille nicht finden.
A2	übermorgen	Morgen habe ich frei. Ich komme übermorgen wieder ins Büro.
A2	übersetzen	Können Sie mir den Brief bitte übersetzen?
B1	-e Hast du den Lebenslauf	für die geschrieben?
B1	-n Es sind noch	viele Lehrstellen frei.
B1	-weise	1. War der Test schwierig? – Teilweise. die Werkstatt, ̈-en 2. Das ist möglicherweise nicht so einfach. das Werkzeug, -e 1. Wie weit ist es noch bis München? 2. Wie weit sind Sie mit der Arbeit? 3. Die Jacke ist mir zu weit. wert
B1	A Bankomat-Karte	der ec-Karte zahlen.
B1	A Dose	das Couvert, -s (CH) →
B1	A Faschierte	
B1	A Kuvert CH Couvert	Briefmarken dazu.
B1	A Marille	
B1	A Schlag- Obers	Sahne.
B1	A Schwammerl	
B1	A Straßenbahn	Bus?
B1	A Urlaub	Ich suche eine günstige Ferienwohnung.
B1	A Viertel	Quartier.
B1	abbiegen	An der nächsten Kreuzung müssen Sie links abbiegen.
B1	Abgase	Abgase aus Industrie und Haushalten verschmutzen die Luft.
B1	abheben	Für die Reise habe ich 500 Euro von meinem Konto abgehoben.
B1	abhängen	Vielleicht bleiben wir ein paar Tage länger, das hängt vom Wetter ab.
B1	abhängig	Gregor ist finanziell von seinen Eltern abhängig.
B1	Abitur	gemacht.
B1	ablehnen	Er hat mein Angebot, ihm zu helfen, abgelehnt.
B1	abmachen	Wir hatten doch abgemacht, dass du die Getränke besorgst.
B1	abnehmen	Morgen können wir den Verband abnehmen. Ich habe zehn Kilo abgenommen.
B1	abonnieren	Diese Zeitschrift würde ich gerne abonnieren.
B1	absagen	Ich muss unser Treffen leider absagen, weil ich krank geworden bin.
B1	abschreiben	Er hat die Hausaufgaben von mir abgeschrieben.
B1	absolut	Was Sie da sagen, ist absolut falsch. Ich habe absolutes Vertrauen zu dir.
B1	abstimmen	uns über diesen Punkt abstimmen.
B1	abwaschen	Ich muss noch das Geschirr abwaschen.
B1	abwesend	Herr Huber ist bis zum 25. April abwesend.
B1	abwärts	Von dort führt der Weg abwärts ins Tal.
B1	achten	Achten Sie bitte darauf, dass Sie abschließen, wenn Sie gehen.
B1	akzeptieren	Ich kann diese Bedingungen nicht akzeptieren.
B1	aller-	1. Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst. Dann wirst du schnell wieder gesund. 2. Das ist das Allerschönste, was ich je gesehen habe.
B1	allerdings	Wir können uns morgen treffen, allerdings habe ich erst ab Mittag Zeit.
B1	allgemein	1. Wir haben nur über allgemeine Probleme gesprochen. 2. Es ist allgemein bekannt, dass man hier gut essen kann. 3. Im Allgemeinen bin ich mit meiner Arbeit sehr zufrieden.
B1	alltäglich	Das alltägliche Leben ist manchmal langweilig. Der Roman erzählt eine ganz alltägliche Geschichte.
B1	als ob	Er tut so, als ob wir nie darüber gesprochen hätten.
B1	alternativ	Wir brauchen alternative Energien.
B1	Altersheim	im Altenheim. || Die Großeltern unserer Nachbarn sind
B1	An der nächsten	Haltestelle müssen
B1	analysieren	Die Politiker analysieren die Situation auf dem Arbeitsmarkt.
B1	andererseits	Tarek möchte zwar studieren, aber andererseits möchte er auch gleich Geld verdienen.
B1	anerkennen	Meine Ausbildung wird hier nicht anerkannt.
B1	anfangs	Anfangs ging alles gut.
B1	angeben	Bitte geben Sie Ihre genaue Adresse an.
B1	angenehm	Wir wünschen Ihnen eine angenehme Reise.
B1	anhaben	Gestern hatte Julia ein rotes Kleid an.
B1	ankündigen	Wir sollten unseren Besuch ankündigen.
B1	anmelden	Für diesen Kurs müssen Sie sich unbedingt vorher anmelden.
B1	annehmen	Ich nehme Ihre Einladung gern an. Ich nehme an, dass Sie mit dem Vorschlag einverstanden sind.
B1	anschaffen	Wir haben uns neue Möbel angeschafft.
B1	anschließen	Wo kann ich den Computer anschließen?
B1	anschnallen	Vergiss nicht, dich anzuschnallen.
B1	ansprechen	Gestern hat mich unsere neue Nachbarin im Treppenhaus angesprochen.
B1	anstellen	1. Können Sie bitte die Heizung anstellen? 2. Mein Schwager ist bei einer Möbelfirma angestellt. 3. Da vorne ist die Kasse. Du musst dich anstellen.
B1	anstrengend	Ich finde diese Arbeit sehr anstrengend.
B1	anwenden	Diese Salbe muss man dreimal am Tag anwenden.
B1	anwesend	Bei dem Treffen waren alle Mitglieder anwesend.
B1	anzeigen	Wenn Sie hier parken, zeige ich Sie an.
B1	atmen	Er hat eine Erkältung und kann nicht durch die Nase atmen.
B1	Auf der Party waren	viele Leute.
B1	auffallen	Mir ist aufgefallen, dass Harriett ganz blass ist.
B1	auffordern	1. Sie forderte mich auf, meine Meinung zu sagen. 2. Er fordert sie zum Tanz auf.
B1	aufführen	Die Kinder führen zu Weihnachten ein Theaterstück auf.
B1	aufgeben	1. Ich habe auf der Post ein Paket aufgegeben. 2. Man darf nie aufgeben. Es gibt immer eine Hoffnung.
B1	aufhalten	1. Wo hält er sich gerade auf? – In München. 2. Darf ich Ihnen die Tür aufhalten? 3. Entschuldigen Sie die Verspätung, ich wurde aufgehalten.
B1	aufheben	1. Lassen Sie die Papiere nur auf dem Boden liegen, ich hebe sie schon auf. 2. Die Quittung müssen Sie gut aufheben.
B1	aufladen	Ich muss mein Telefon aufladen. Die Batterie ist leer.
B1	auflösen	Die Tablette bitte in Wasser auflösen.
B1	aufmerksam	1. Die Schülerin hörte aufmerksam zu. 2. Ich mache Sie darauf aufmerksam, dass wir in einer halben Stunde schließen.
B1	aufnehmen	1. Wir haben Aneta in unseren Verein aufgenommen. 2. Ich habe den Film im Urlaub aufgenommen.
B1	aufregen	Es regt mich auf, dass ich schon wieder Überstunden machen muss. Ganz ruhig! Bitte regen Sie sich nicht auf. Heute hast du eine Prüfung. Bist du schon aufgeregt? Die Musikgruppe zu erleben war sehr aufregend.
B1	aufschreiben	Ich habe mir deine Telefonnummer aufgeschrieben.
B1	auftreten	Nächste Woche tritt in der Stadthalle eine berühmte Musikgruppe auf.
B1	aufwachen	Von dem Lärm bin ich aufgewacht.
B1	aufwärts	Sie müssen gute Schuhe anziehen. Der Weg geht immer aufwärts. In letzter Zeit geht es wieder aufwärts mit der Wirtschaft.
B1	ausdrucken	Kann ich das auf deinem Drucker ausdrucken?
B1	auseinander	Wir wohnen nicht weit auseinander.
B1	ausfallen	Nächste Woche fällt der Kurs aus.
B1	ausgebildet	Für diesen Beruf müssen Sie gut ausgebildet sein.
B1	ausgezeichnet	Essen und Unterkunft waren ausgezeichnet.
B1	ausreichen	1. Das Geld muss bis März ausreichen. 2. Seine Kenntnisse reichen für diese Arbeit aus.
B1	ausreichend	Das Geld ist für die Reise ausreichend.
B1	ausrichten	Mein Mann ist nicht da. Soll ich ihm etwas ausrichten?
B1	ausschließen	1. Das kann man nicht ganz ausschließen. 2. So viel kann ich nicht bezahlen. Das ist völlig ausgeschlossen.
B1	ausschließlich	Tut mir leid. Wir haben ausschließlich Nichtraucherzimmer.
B1	außen	1. Wir haben das Schloss nur von außen gesehen. 2. Außen ist das Haus nicht sehr schön.
B1	ausstellen	1. Im Schaufenster sind Winterschuhe ausgestellt. 2. Das Zeugnis wird bis nächste Woche ausgestellt.
B1	auswählen	Für die Aufgabe können Sie aus drei Themen auswählen.
B1	ausziehen	1. Willst du den Mantel nicht ausziehen? 2. Müllers sind schon vor vier Wochen ausgezogen.
B1	beachten	Bitte beachten Sie die Ansagen am Bahnsteig.
B1	beantragen	Hast du schon einen neuen Pass beantragt?
B1	bedienen	1. Werden Sie schon bedient? 2. Die Kaffeemaschine ist ganz leicht zu bedienen.
B1	beeinflussen	Dieses Ereignis hat die Wahlen beeinflusst.
B1	befreit	Studenten und Studentinnen sind von den Rundfunk-Gebühren befreit.
B1	befriedigend	Das Ergebnis ist befriedigend.
B1	begegnen	Sind wir uns nicht schon mal irgendwann begegnet?
B1	begeistert	Es war ein tolles Konzert. Ich bin begeistert.
B1	begleiten	Ich begleite dich ein Stück.
B1	begrenzt	Die Teilnehmerzahl ist auf 12 begrenzt.
B1	begrüßen	Der Gastgeber begrüßt seine Gäste.
B1	behalten	Darf ich die Zeitschrift behalten?
B1	behandeln	1. Welcher Arzt hat Sie bis jetzt behandelt? 2. So lasse ich mich von Ihnen nicht länger behandeln.
B1	behaupten	1. Er behauptet, unsere Meinung sei nicht wichtig. 2. Es ist schwer, sich gegen meinen Kollegen zu behaupten.
B1	behindern	1. Bitte parken Sie so, dass Sie nieman- den behindern. 2. Seit dem Unfall ist das Kind unserer Freunde behindert.
B1	beid-	1. Beide waren mit meinem Vorschlag einverstanden. 2. Welche Bluse nehmen Sie, die rote oder die grüne? – Ich nehme beide.
B1	beinahe	Ich habe heute beinahe den Bus verpasst.
B1	beißen	Pass auf, dass dich der Hund nicht beißt!
B1	bekannt geben	Den Prüfungsort geben wir Ihnen noch rechtzeitig bekannt.
B1	beleidigen	1. Ich wollte Sie nicht beleidigen. 2. Sei doch nicht immer gleich beleidigt.
B1	bemerken	Ich habe nicht bemerkt, dass das Fenster offen ist.
B1	benötigen	Sagen Sie Bescheid, wenn Sie noch etwas benötigen.
B1	beobachten	Wer hat den Unfall beobachtet?
B1	berechnen	Die Kosten für die Fahrt müssen erst berechnet werden.
B1	bereit	1. Ich bin jederzeit bereit, dir zu helfen. 2. Das Paket liegt auf der Post für Sie bereit.
B1	bereits	Bitte melde dich bei Frau Kaiser. Sie hat bereits dreimal angerufen.
B1	Berlin ist die Hauptstadt	von
B1	beruflich	Was machen Sie beruflich?
B1	berufstätig	Sind Sie berufstätig?
B1	beruhigen	Beruhigen Sie sich bitte. Es ist alles in Ordnung. Ich kann Sie beruhigen. Ihrem Sohn ist nichts passiert.
B1	Bescheid geben	Kannst du mir bis morgen Bescheid geben?
B1	Bescheid sagen	Ich erkundige mich nach den Terminen und sage Ihnen dann Bescheid.
B1	beschließen	Wir haben beschlossen, uns ein kleineres Auto zu kaufen.
B1	beschränken	Die Teilnehmerzahl für den Kurs ist beschränkt.
B1	beschädigen	Bitte machen Sie eine Liste davon, was die Einbrecher beschädigt haben.
B1	beschäftigen	Womit haben Sie sich bei Ihrer Arbeit beschäftigt? Seit wann sind Sie bei dieser Firma beschäftigt?
B1	besetzen	1. Dieser Platz ist besetzt. 2. Ich habe drei Plätze besetzt. 3. Ich habe jetzt schon dreimal dort angerufen. Es ist immer besetzt.
B1	besonder-	Meine Eltern wollten uns mit dieser Reise eine ganz besondere Freude machen.
B1	besorgen	Soll ich die Eintrittskarten besorgen?
B1	besprechen	Wir müssen noch genau besprechen, wann wir losfahren und was wir mitnehmen.
B1	bestimmt	1. Das hat Nancy bestimmt nicht so gemeint. 2. Möchtest du ein bestimmtes Brot?
B1	bestrafen	Zu schnelles Fahren wird streng bestraft.
B1	betreuen	Wer betreut bei Ihnen die Kinder?
B1	betrunken	Wenn Sie betrunken Auto fahren, verlieren Sie Ihren Führerschein.
B1	betrügen	Ich würde meine Familie niemals betrügen. Die Rechnung stimmt nicht. Der Kellner hat mich betrogen.
B1	bevor	Bevor wir gehen, möchte ich noch etwas essen.
B1	bewegen	Ich kann mich vor Schmerzen kaum noch bewegen. Ich kann meinen Finger nicht mehr bewegen.
B1	beweisen	Wir können beweisen, dass Sie bei Rot über die Ampel gefahren sind.
B1	bieten	Er hat mir für den alten Wagen noch 800 Euro geboten. Die Firma bietet ihren Mitarbeitern die Möglichkeit, Sprachkurse zu besuchen.
B1	bio logisch	Biologische Lebensmittel gibt es jetzt auch im Supermarkt.
B1	Bio-	Ich kaufe nur noch Biogemüse.
B1	bisher	Bisher ist alles in Ordnung.
B1	Bitte achten Sie	auch auf die am Bahnhof.
B1	Bitte lesen Sie diese	Informationen gehen Sie zur
B1	blass	Du siehst ganz blass aus. Bist du krank?
B1	blind	Er ist von Geburt an blind.
B1	blitzen	1. Gestern Abend gab es ein Gewitter. Es hat furchtbar geblitzt und gedonnert. 2. Ihre Augen blitzen vor Freude.
B1	bloß	1. Ich möchte nichts kaufen. Ich möchte mich bloß umsehen. 2. Komm bloß nicht zu spät. Wir müssen pünktlich am Bahnhof sein. 3. Ach, wenn ich bloß mehr verdienen würde!
B1	bluten	Ich habe mich verletzt. Meine Hand blutet.
B1	blühen	Die Bäume blühen schon. Es ist Frühling.
B1	Brauchen Sie	eine Tüte für den Salat?
B1	Briefumschlag CH Cou-	Briefmarken dazu.
B1	Brötchen A Semmel	Frühstück.
B1	Brötchen CH Brötli	Frühstück.
B1	CH Fauteuil	
B1	CH Hackfleisch	
B1	CH Pension	Rente.
B1	CH Portemonnaie/Port-	Brieftasche.
B1	CH Rentner	
B1	CH Schrank	
B1	CH Serviceangestellter	
B1	chhauer	
B1	chic/schick	Ich finde dein Kleid sehr chick. dahin
B1	D Klassenarbeit	immer gute Noten.
B1	D Schlag- Sahne	(Schlag-)Rahm.
B1	damit	1. Mach schnell, damit wir nicht zu spät kommen. 2. Was macht man mit diesem Ding? - Damit kann man Dosen aufmachen.
